10,30
11,30
13,30
14,30
12,29
11,33
10,33
9,33
9,34
10,34
13,33
14,33
15,33
15,34
14,34
5,35
6,35
7,35
17,35
18,35
7,37
5,37
19,35
19,37
17,37
7,38
7,39
7,40
7,41
7,42
7,43
7,44
17,38
17,39
17,40
17,41
17,42
17,43
17,44
6,40
8,38
18,40
16,38
8,44
10,43
10,42
16,44
14,43
14,42
6,45
5,44
4,45
18,45
19,44
20,45
6,47
6,48
6,49
6,50
6,51
6,52
5,51
5,50
18,47
18,48
18,49
18,50
18,51
18,52
19,51
19,50
8,52
9,52
10,52
16,52
15,52
14,52
10,53
9,53
8,53
8,54
9,54
16,53
15,53
14,53
15,54
8,55
7,55
16,54
16,55
17,55
15,56
9,56
6,57
6,58
7,58
17,58
18,58
18,57
5,60
4,61
3,62
7,60
8,60
8,61
7,61
7,62
8,62
4,63
19,60
20,61
21,62
20,63
17,60
16,60
16,61
16,62
17,62
17,61
